ZipCode,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01
60613,2.800757745815699,6.726715931029892,3.833596774334401,6.477231767391565,8.05362160210334,5.611738733601927,4.23041592217688
60614,4.972181170129531,11.633692064977495,7.87006770359531,2.844454225503462,4.234018259114929,3.153521247615252,1.450815549272299
60620,-15.4600588293618,1.2216933647389974,-6.949124721194975,13.437791843934836,9.97530186608123,3.714701601164484,3.0788108203479
60622,-0.46495682945151207,6.504420031957481,8.019388892914007,5.379274692771794,14.866786513783973,5.969302045223869,3.888344023048463
60625,-3.7894199158368647,9.614868181018437,7.712691064328276,1.326780042090953,6.512203932091438,9.456421684995881,2.3288289683927252
60629,-7.3293429511775035,7.589753970152549,4.690640099200411,10.6690083319719,8.872092765775275,6.221652734557732,4.313304994957812
60634,-7.259572260706991,10.836620424049269,14.589181517110866,6.722083832225449,5.235217249264946,3.6717521393705455,3.7729901813998206
60641,-4.601940799644169,12.117835028685473,14.26883383624515,7.232348516117007,7.210999226047836,7.593035824583076,3.8714214467419428
60647,-0.19342974229369553,13.872591146524071,4.096153547525506,10.25616545436102,16.161006629684753,6.5317408735233755,3.248766706318662
60657,3.8894379617444867,9.69909597393041,5.544322719900725,4.284898784644001,6.113742889573043,2.741222222678027,2.6549078912562822
